SARGAM NOTATION v3 — ICCR-1854-AC SIDE B
=================================================================
Source: Demucs vocals + CREPE + tanpura Sa detection
Detected Sa = 98.0 Hz | Pa = 146.8 Hz
Confidence: medium
CREPE confidence threshold = 0.75
Total notes: 5492

KEY:
  S=Sa  R=Re(sh) r=Re(ko)  G=Ga(sh) g=Ga(ko)  M=Ma(sh)
  M+=Ma(tivra)  P=Pa  D=Dha(sh) d=Dha(ko)  N=Ni(sh)  n=Ni(ko)
  ' = taar (upper octave)   . = mandra (lower octave)

FORMAT: [MM:SS.ss]  note  duration  full_name
=================================================================

--- Minute 00 ---
  [00:46.05]  D       0.060s   Dha shuddh — madhya saptak
  [00:46.11]  d       0.040s   Dha komal — madhya saptak
  [00:46.15]  P       0.120s   Pa — madhya saptak
  [00:46.27]  M+      0.070s   Ma tivra — madhya saptak
  [00:46.50]  n       0.050s   Ni komal — madhya saptak
  [00:46.67]  S       0.050s   Sa — madhya saptak
  [00:46.83]  r'      0.040s   Re komal — taar saptak
  [00:47.11]  G'      0.080s   Ga shuddh — taar saptak
  [00:47.19]  g'      0.050s   Ga komal — taar saptak
  [00:47.35]  M'      0.290s   Ma shuddh — taar saptak
  [00:47.64]  G'      0.220s   Ga shuddh — taar saptak
  [00:47.86]  g'      0.080s   Ga komal — taar saptak
  [00:47.94]  R'      0.060s   Re shuddh — taar saptak
  [00:48.06]  G'      0.110s   Ga shuddh — taar saptak
  [00:48.58]  d'      0.040s   Dha komal — taar saptak
  [00:48.64]  M'      0.080s   Ma shuddh — taar saptak
  [00:48.87]  R'      0.040s   Re shuddh — taar saptak
  [00:48.94]  S       0.240s   Sa — madhya saptak
  [00:49.18]  S'      0.150s   Sa — taar saptak
  [00:49.33]  S       0.110s   Sa — madhya saptak
  [00:49.54]  D       0.160s   Dha shuddh — madhya saptak
  [00:50.01]  n       0.050s   Ni komal — madhya saptak
  [00:50.06]  D       0.070s   Dha shuddh — madhya saptak
  [00:50.25]  S'      0.090s   Sa — taar saptak
  [00:50.40]  R'      0.180s   Re shuddh — taar saptak
  [00:50.58]  r'      0.040s   Re komal — taar saptak
  [00:50.67]  M'      0.050s   Ma shuddh — taar saptak
  [00:50.74]  g'      0.050s   Ga komal — taar saptak
  [00:50.83]  P'      0.040s   Pa — taar saptak
  [00:50.90]  M'      0.050s   Ma shuddh — taar saptak
  [00:51.00]  G'      0.060s   Ga shuddh — taar saptak
  [00:51.09]  G'      0.160s   Ga shuddh — taar saptak
  [00:51.25]  g'      0.070s   Ga komal — taar saptak
  [00:51.32]  R'      0.200s   Re shuddh — taar saptak
  [00:51.54]  G'      0.040s   Ga shuddh — taar saptak
  [00:52.40]  M'      0.090s   Ma shuddh — taar saptak
  [00:52.50]  G'      0.040s   Ga shuddh — taar saptak
  [00:52.64]  R'      0.040s   Re shuddh — taar saptak
  [00:52.75]  S       0.090s   Sa — madhya saptak
  [00:52.84]  S'      0.080s   Sa — taar saptak
  [00:52.92]  S       0.090s   Sa — madhya saptak
  [00:53.07]  n       0.070s   Ni komal — madhya saptak
  [00:53.14]  D       0.070s   Dha shuddh — madhya saptak
  [00:53.22]  n       0.140s   Ni komal — madhya saptak
  [00:53.63]  n       0.160s   Ni komal — madhya saptak
  [00:53.86]  D       0.070s   Dha shuddh — madhya saptak
  [00:53.98]  r'      0.070s   Re komal — taar saptak
  [00:54.05]  S'      0.070s   Sa — taar saptak
  [00:54.19]  D       0.080s   Dha shuddh — madhya saptak
  [00:54.27]  n       0.190s   Ni komal — madhya saptak
  [00:54.46]  D       0.190s   Dha shuddh — madhya saptak
  [00:54.65]  d       0.040s   Dha komal — madhya saptak
  [00:54.69]  P       0.080s   Pa — madhya saptak
  [00:54.86]  n       0.040s   Ni komal — madhya saptak
  [00:55.02]  D       0.190s   Dha shuddh — madhya saptak
  [00:55.48]  D       0.050s   Dha shuddh — madhya saptak
  [00:55.55]  D       0.050s   Dha shuddh — madhya saptak
  [00:55.60]  n       0.050s   Ni komal — madhya saptak
  [00:55.79]  D       0.050s   Dha shuddh — madhya saptak
  [00:55.91]  P       0.040s   Pa — madhya saptak
  [00:56.02]  R'      0.090s   Re shuddh — taar saptak
  [00:56.12]  R'      0.240s   Re shuddh — taar saptak
  [00:56.39]  R'      0.040s   Re shuddh — taar saptak
  [00:56.50]  S'      0.050s   Sa — taar saptak
  [00:56.69]  M'      0.350s   Ma shuddh — taar saptak
  [00:57.04]  G'      0.050s   Ga shuddh — taar saptak
  [00:57.12]  M+'     0.040s   Ma tivra — taar saptak
  [00:57.20]  R'      0.100s   Re shuddh — taar saptak
  [00:57.41]  P'      0.040s   Pa — taar saptak
  [00:57.86]  M'      0.050s   Ma shuddh — taar saptak
  [00:57.97]  P'      0.040s   Pa — taar saptak
  [00:58.16]  d'      0.040s   Dha komal — taar saptak
  [00:58.41]  n'      0.210s   Ni komal — taar saptak
  [00:58.62]  D'      0.060s   Dha shuddh — taar saptak
  [00:58.69]  n'      0.080s   Ni komal — taar saptak
  [00:58.91]  M'      0.050s   Ma shuddh — taar saptak
  [00:59.09]  R'      0.090s   Re shuddh — taar saptak
  [00:59.70]  M'      0.050s   Ma shuddh — taar saptak
  [00:59.93]  R'      0.040s   Re shuddh — taar saptak

--- Minute 01 ---
  [01:00.70]  D       0.070s   Dha shuddh — madhya saptak
  [01:00.82]  S       0.120s   Sa — madhya saptak
  [01:01.31]  G'      0.080s   Ga shuddh — taar saptak
  [01:01.39]  M'      0.230s   Ma shuddh — taar saptak
  [01:01.62]  G'      0.330s   Ga shuddh — taar saptak
  [01:01.95]  g'      0.060s   Ga komal — taar saptak
  [01:02.09]  G'      0.150s   Ga shuddh — taar saptak
  [01:02.77]  M'      0.100s   Ma shuddh — taar saptak
  [01:03.61]  n       0.060s   Ni komal — madhya saptak
  [01:04.40]  M+'     0.190s   Ma tivra — taar saptak
  [01:05.30]  M+'     0.130s   Ma tivra — taar saptak
  [01:05.92]  M+'     0.080s   Ma tivra — taar saptak
  [01:06.18]  M+'     0.080s   Ma tivra — taar saptak
  [01:07.85]  M+'     0.090s   Ma tivra — taar saptak
  [01:08.01]  M+'     0.040s   Ma tivra — taar saptak
  [01:08.34]  M'      0.050s   Ma shuddh — taar saptak
  [01:09.43]  M+'     0.100s   Ma tivra — taar saptak
  [01:12.61]  P'      0.040s   Pa — taar saptak
  [01:12.82]  M'      0.040s   Ma shuddh — taar saptak
  [01:13.44]  M'      0.050s   Ma shuddh — taar saptak
  [01:13.62]  r'      0.040s   Re komal — taar saptak
  [01:13.75]  r'      0.040s   Re komal — taar saptak
  [01:13.87]  R'      0.090s   Re shuddh — taar saptak
  [01:14.03]  S       0.060s   Sa — madhya saptak
  [01:14.12]  n       0.070s   Ni komal — madhya saptak
