SARGAM NOTATION — IMPROVED (self_improve.py v2)
=================================================================
Sa = 92.525 Hz
Confidence = 0.7136  Gap = 0.07s  Min duration = 0.011s
Combined score = 0.91383  (0.65×chroma + 0.35×DTW)
Total notes: 11303

KEY:
  S=Sa  R=Re(sh) r=Re(ko)  G=Ga(sh) g=Ga(ko)  M=Ma(sh)
  M+=Ma(tivra)  P=Pa  D=Dha(sh) d=Dha(ko)  N=Ni(sh)  n=Ni(ko)
  ' = taar (upper octave)   . = mandra (lower octave)

FORMAT: [MM:SS.ss]  note  duration  full_name
=================================================================

--- Minute 00 ---
  [00:22.09]  n       0.020s   Ni komal — madhya saptak
  [00:22.38]  P       0.020s   Pa — madhya saptak
  [00:22.40]  d       0.020s   Dha komal — madhya saptak
  [00:22.42]  D       0.030s   Dha shuddh — madhya saptak
  [00:22.45]  n       0.150s   Ni komal — madhya saptak
  [00:22.68]  D       0.030s   Dha shuddh — madhya saptak
  [00:22.73]  n       0.020s   Ni komal — madhya saptak
  [00:22.80]  r'      0.170s   Re komal — taar saptak
  [00:23.01]  n       0.060s   Ni komal — madhya saptak
  [00:23.07]  N       0.150s   Ni shuddh — madhya saptak
  [00:23.22]  n       0.230s   Ni komal — madhya saptak
  [00:23.45]  D       0.040s   Dha shuddh — madhya saptak
  [00:23.49]  d       0.100s   Dha komal — madhya saptak
  [00:23.71]  d       0.140s   Dha komal — madhya saptak
  [00:23.89]  n       0.020s   Ni komal — madhya saptak
  [00:24.13]  n       0.060s   Ni komal — madhya saptak
  [00:24.41]  D       0.020s   Dha shuddh — madhya saptak
  [00:24.47]  N       0.120s   Ni shuddh — madhya saptak
  [00:24.61]  n       0.090s   Ni komal — madhya saptak
  [00:24.78]  D       0.040s   Dha shuddh — madhya saptak
  [00:24.82]  n       0.030s   Ni komal — madhya saptak
  [00:24.85]  N       0.020s   Ni shuddh — madhya saptak
  [00:25.02]  G'      0.020s   Ga shuddh — taar saptak
  [00:25.04]  g'      0.250s   Ga komal — taar saptak
  [00:25.29]  R'      0.040s   Re shuddh — taar saptak
  [00:25.33]  g'      0.030s   Ga komal — taar saptak
  [00:25.37]  G'      0.030s   Ga shuddh — taar saptak
  [00:25.43]  r'      0.100s   Re komal — taar saptak
  [00:25.60]  M'      0.030s   Ma shuddh — taar saptak
  [00:25.63]  M+'     0.250s   Ma tivra — taar saptak
  [00:25.88]  M'      0.050s   Ma shuddh — taar saptak
  [00:25.93]  M+'     0.110s   Ma tivra — taar saptak
  [00:26.04]  M'      0.110s   Ma shuddh — taar saptak
  [00:26.17]  g'      0.080s   Ga komal — taar saptak
  [00:26.28]  M+'     0.150s   Ma tivra — taar saptak
  [00:26.43]  M'      0.030s   Ma shuddh — taar saptak
  [00:26.62]  G'      0.020s   Ga shuddh — taar saptak
  [00:26.66]  R'      0.020s   Re shuddh — taar saptak
  [00:26.71]  M+'     0.020s   Ma tivra — taar saptak
  [00:26.73]  P'      0.020s   Pa — taar saptak
  [00:26.76]  M'      0.020s   Ma shuddh — taar saptak
  [00:26.81]  d'      0.050s   Dha komal — taar saptak
  [00:26.86]  P'      0.020s   Pa — taar saptak
  [00:26.92]  N'      0.030s   Ni shuddh — taar saptak
  [00:26.98]  d'      0.030s   Dha komal — taar saptak
  [00:27.01]  D'      0.030s   Dha shuddh — taar saptak
  [00:27.04]  d'      0.020s   Dha komal — taar saptak
  [00:27.07]  M+'     0.040s   Ma tivra — taar saptak
  [00:27.11]  P'      0.020s   Pa — taar saptak
  [00:27.13]  d'      0.030s   Dha komal — taar saptak
  [00:27.16]  P'      0.050s   Pa — taar saptak
  [00:27.25]  N'      0.220s   Ni shuddh — taar saptak
  [00:27.47]  n'      0.050s   Ni komal — taar saptak
  [00:27.52]  N'      0.060s   Ni shuddh — taar saptak
  [00:27.73]  M'      0.020s   Ma shuddh — taar saptak
  [00:27.75]  M+'     0.050s   Ma tivra — taar saptak
  [00:27.80]  M'      0.050s   Ma shuddh — taar saptak
  [00:27.85]  M+'     0.050s   Ma tivra — taar saptak
  [00:27.93]  g'      0.060s   Ga komal — taar saptak
  [00:27.99]  R'      0.040s   Re shuddh — taar saptak
  [00:28.08]  n'      0.100s   Ni komal — taar saptak
  [00:28.19]  d'      0.040s   Dha komal — taar saptak
  [00:28.32]  M+'     0.020s   Ma tivra — taar saptak
  [00:28.34]  M'      0.040s   Ma shuddh — taar saptak
  [00:28.41]  d'      0.040s   Dha komal — taar saptak
  [00:28.47]  M+'     0.140s   Ma tivra — taar saptak
  [00:28.61]  P'      0.020s   Pa — taar saptak
  [00:28.63]  M+'     0.020s   Ma tivra — taar saptak
  [00:28.67]  g'      0.060s   Ga komal — taar saptak
  [00:28.74]  r'      0.180s   Re komal — taar saptak
  [00:28.92]  R'      0.030s   Re shuddh — taar saptak
  [00:28.95]  g'      0.210s   Ga komal — taar saptak
  [00:29.16]  R'      0.040s   Re shuddh — taar saptak
  [00:29.23]  S       0.020s   Sa — madhya saptak
  [00:29.27]  n       0.020s   Ni komal — madhya saptak
  [00:29.29]  D       0.020s   Dha shuddh — madhya saptak
  [00:29.31]  n       0.070s   Ni komal — madhya saptak
  [00:29.39]  n       0.020s   Ni komal — madhya saptak
  [00:29.41]  N       0.090s   Ni shuddh — madhya saptak
  [00:29.60]  r'      0.190s   Re komal — taar saptak
  [00:29.82]  g'      0.150s   Ga komal — taar saptak
  [00:29.97]  R'      0.030s   Re shuddh — taar saptak
  [00:30.00]  g'      0.020s   Ga komal — taar saptak
  [00:30.03]  G'      0.020s   Ga shuddh — taar saptak
  [00:30.05]  M'      0.040s   Ma shuddh — taar saptak
  [00:30.09]  M+'     0.640s   Ma tivra — taar saptak
  [00:30.73]  M'      0.090s   Ma shuddh — taar saptak
  [00:30.82]  M+'     0.050s   Ma tivra — taar saptak
  [00:30.91]  g'      0.040s   Ga komal — taar saptak
  [00:31.03]  G'      0.020s   Ga shuddh — taar saptak
  [00:31.13]  M'      0.060s   Ma shuddh — taar saptak
  [00:31.24]  g'      0.080s   Ga komal — taar saptak
  [00:31.39]  M+'     0.050s   Ma tivra — taar saptak
  [00:31.45]  M'      0.030s   Ma shuddh — taar saptak
  [00:31.52]  D'      0.020s   Dha shuddh — taar saptak
  [00:31.58]  M+'     0.080s   Ma tivra — taar saptak
  [00:31.66]  M'      0.030s   Ma shuddh — taar saptak
  [00:31.69]  M+'     0.030s   Ma tivra — taar saptak
  [00:31.72]  P'      0.040s   Pa — taar saptak
  [00:31.81]  G'      0.040s   Ga shuddh — taar saptak
  [00:31.85]  g'      0.020s   Ga komal — taar saptak
  [00:31.93]  g'      0.040s   Ga komal — taar saptak
  [00:32.13]  d'      0.170s   Dha komal — taar saptak
  [00:32.48]  n'      0.040s   Ni komal — taar saptak
  [00:32.74]  N'      0.020s   Ni shuddh — taar saptak
  [00:32.88]  M+'     0.030s   Ma tivra — taar saptak
  [00:33.01]  d'      0.050s   Dha komal — taar saptak
  [00:33.14]  d'      0.050s   Dha komal — taar saptak
  [00:33.22]  g'      0.020s   Ga komal — taar saptak
  [00:33.40]  g'      0.050s   Ga komal — taar saptak
  [00:33.45]  G'      0.030s   Ga shuddh — taar saptak
  [00:33.51]  G'      0.020s   Ga shuddh — taar saptak
  [00:33.53]  M'      0.020s   Ma shuddh — taar saptak
  [00:33.55]  M+'     0.070s   Ma tivra — taar saptak
  [00:33.62]  M'      0.030s   Ma shuddh — taar saptak
  [00:33.65]  G'      0.030s   Ga shuddh — taar saptak
  [00:33.68]  M'      0.020s   Ma shuddh — taar saptak
  [00:33.74]  D'      0.020s   Dha shuddh — taar saptak
  [00:33.79]  M+'     0.110s   Ma tivra — taar saptak
  [00:33.90]  M'      0.050s   Ma shuddh — taar saptak
  [00:33.95]  M+'     0.040s   Ma tivra — taar saptak
  [00:33.99]  M'      0.200s   Ma shuddh — taar saptak
  [00:34.19]  G'      0.090s   Ga shuddh — taar saptak
  [00:34.56]  d'      0.030s   Dha komal — taar saptak
  [00:34.76]  M+'     0.030s   Ma tivra — taar saptak
  [00:34.79]  M'      0.020s   Ma shuddh — taar saptak
  [00:34.82]  G'      0.020s   Ga shuddh — taar saptak
  [00:34.89]  D'      0.020s   Dha shuddh — taar saptak
  [00:34.94]  M+'     0.090s   Ma tivra — taar saptak
  [00:35.03]  M'      0.030s   Ma shuddh — taar saptak
  [00:35.06]  M+'     0.060s   Ma tivra — taar saptak
  [00:35.15]  R'      0.020s   Re shuddh — taar saptak
  [00:35.18]  g'      0.050s   Ga komal — taar saptak
  [00:35.24]  R'      0.030s   Re shuddh — taar saptak
  [00:35.36]  r'      0.440s   Re komal — taar saptak
  [00:36.41]  r'      0.040s   Re komal — taar saptak
  [00:36.62]  g'      0.180s   Ga komal — taar saptak
  [00:36.81]  g'      0.050s   Ga komal — taar saptak
  [00:36.86]  G'      0.060s   Ga shuddh — taar saptak
  [00:36.92]  M'      0.160s   Ma shuddh — taar saptak
  [00:37.08]  M+'     0.550s   Ma tivra — taar saptak
  [00:37.63]  M'      0.030s   Ma shuddh — taar saptak
  [00:37.66]  G'      0.030s   Ga shuddh — taar saptak
  [00:37.69]  M'      0.080s   Ma shuddh — taar saptak
  [00:37.96]  g'      0.140s   Ga komal — taar saptak
  [00:38.24]  M'      0.020s   Ma shuddh — taar saptak
  [00:38.26]  G'      0.030s   Ga shuddh — taar saptak
  [00:38.37]  M+'     0.020s   Ma tivra — taar saptak
  [00:38.39]  M'      0.040s   Ma shuddh — taar saptak
  [00:38.43]  M+'     0.050s   Ma tivra — taar saptak
  [00:38.48]  M'      0.030s   Ma shuddh — taar saptak
  [00:38.51]  G'      0.030s   Ga shuddh — taar saptak
  [00:38.54]  M'      0.100s   Ma shuddh — taar saptak
  [00:38.70]  R'      0.060s   Re shuddh — taar saptak
  [00:39.38]  g'      0.030s   Ga komal — taar saptak
  [00:40.09]  n'      0.120s   Ni komal — taar saptak
  [00:40.35]  G'      0.050s   Ga shuddh — taar saptak
  [00:40.40]  M'      0.170s   Ma shuddh — taar saptak
  [00:40.57]  M+'     0.080s   Ma tivra — taar saptak
  [00:40.69]  M'      0.050s   Ma shuddh — taar saptak
  [00:40.74]  M+'     0.240s   Ma tivra — taar saptak
  [00:40.98]  M'      0.260s   Ma shuddh — taar saptak
  [00:41.24]  G'      0.110s   Ga shuddh — taar saptak
  [00:41.35]  g'      0.140s   Ga komal — taar saptak
  [00:41.73]  P'      0.040s   Pa — taar saptak
  [00:41.78]  M'      0.050s   Ma shuddh — taar saptak
  [00:41.83]  M+'     0.090s   Ma tivra — taar saptak
  [00:42.16]  r'      0.030s   Re komal — taar saptak
  [00:42.43]  r'      0.130s   Re komal — taar saptak
  [00:42.90]  n       0.020s   Ni komal — madhya saptak
  [00:42.92]  N       0.040s   Ni shuddh — madhya saptak
  [00:43.00]  D       0.020s   Dha shuddh — madhya saptak
  [00:43.04]  N       0.070s   Ni shuddh — madhya saptak
  [00:43.22]  r'      0.090s   Re komal — taar saptak
  [00:43.31]  S'      0.070s   Sa — taar saptak
  [00:43.42]  M'      0.020s   Ma shuddh — taar saptak
  [00:43.44]  M+'     0.200s   Ma tivra — taar saptak
  [00:43.64]  M'      0.120s   Ma shuddh — taar saptak
  [00:43.76]  M+'     0.540s   Ma tivra — taar saptak
  [00:44.30]  M'      0.060s   Ma shuddh — taar saptak
  [00:44.36]  M+'     0.020s   Ma tivra — taar saptak
  [00:44.38]  P'      0.040s   Pa — taar saptak
  [00:44.47]  R'      0.040s   Re shuddh — taar saptak
  [00:44.51]  g'      0.350s   Ga komal — taar saptak
  [00:44.88]  r'      0.020s   Re komal — taar saptak
  [00:44.90]  R'      0.020s   Re shuddh — taar saptak
  [00:44.95]  M+'     0.050s   Ma tivra — taar saptak
  [00:45.01]  G'      0.020s   Ga shuddh — taar saptak
  [00:45.07]  d'      0.030s   Dha komal — taar saptak
  [00:45.13]  M'      0.020s   Ma shuddh — taar saptak
  [00:45.15]  M+'     0.060s   Ma tivra — taar saptak
  [00:45.21]  M'      0.040s   Ma shuddh — taar saptak
  [00:45.25]  M+'     0.020s   Ma tivra — taar saptak
  [00:45.27]  P'      0.040s   Pa — taar saptak
  [00:45.34]  g'      0.050s   Ga komal — taar saptak
  [00:45.43]  S'      0.020s   Sa — taar saptak
  [00:45.45]  r'      0.380s   Re komal — taar saptak
  [00:45.89]  N       0.020s   Ni shuddh — madhya saptak
  [00:45.92]  N       0.130s   Ni shuddh — madhya saptak
  [00:46.05]  n       0.060s   Ni komal — madhya saptak
  [00:46.11]  D       0.040s   Dha shuddh — madhya saptak
  [00:46.15]  d       0.120s   Dha komal — madhya saptak
  [00:46.27]  P       0.070s   Pa — madhya saptak
  [00:46.44]  d       0.020s   Dha komal — madhya saptak
  [00:46.50]  N       0.050s   Ni shuddh — madhya saptak
  [00:46.55]  n       0.030s   Ni komal — madhya saptak
  [00:46.61]  r'      0.180s   Re komal — taar saptak
  [00:46.83]  R'      0.040s   Re shuddh — taar saptak
  [00:47.08]  G'      0.030s   Ga shuddh — taar saptak
  [00:47.11]  M'      0.080s   Ma shuddh — taar saptak
  [00:47.19]  G'      0.050s   Ga shuddh — taar saptak
  [00:47.29]  D'      0.020s   Dha shuddh — taar saptak
  [00:47.31]  d'      0.020s   Dha komal — taar saptak
  [00:47.33]  P'      0.020s   Pa — taar saptak
  [00:47.35]  M+'     0.290s   Ma tivra — taar saptak
  [00:47.64]  M'      0.220s   Ma shuddh — taar saptak
  [00:47.86]  G'      0.080s   Ga shuddh — taar saptak
  [00:47.94]  g'      0.060s   Ga komal — taar saptak
  [00:48.02]  G'      0.020s   Ga shuddh — taar saptak
  [00:48.06]  M'      0.110s   Ma shuddh — taar saptak
  [00:48.46]  P'      0.030s   Pa — taar saptak
  [00:48.51]  G'      0.030s   Ga shuddh — taar saptak
  [00:48.58]  D'      0.040s   Dha shuddh — taar saptak
  [00:48.64]  M+'     0.080s   Ma tivra — taar saptak
  [00:48.73]  M'      0.030s   Ma shuddh — taar saptak
  [00:48.76]  M+'     0.020s   Ma tivra — taar saptak
  [00:48.78]  P'      0.020s   Pa — taar saptak
  [00:48.80]  M+'     0.020s   Ma tivra — taar saptak
  [00:48.85]  R'      0.020s   Re shuddh — taar saptak
  [00:48.87]  g'      0.040s   Ga komal — taar saptak
  [00:48.91]  R'      0.020s   Re shuddh — taar saptak
  [00:48.93]  r'      0.530s   Re komal — taar saptak
