SARGAM NOTATION v2 — ICCR-1854-AC SIDE B
=================================================================
Source: pYIN Notes | Sa = 87 Hz | Min duration = 40ms
Total notes: 2527

KEY:
  S=Sa  R=Re(sh)  r=Re(ko)  G=Ga(sh)  g=Ga(ko)  M=Ma(sh)
  M+=Ma(tivra)  P=Pa  D=Dha(sh)  d=Dha(ko)  N=Ni(sh)  n=Ni(ko)
  ' = taar (upper octave)    . = mandra (lower octave)

FORMAT: [MM:SS.ss]  note    duration   full_name
  [02:17.18]  s.      0.144s   Sa — mandra saptak
  [02:18.86]  R       0.128s   Re shuddh — madhya saptak
  [02:19.56]  S       0.112s   Sa — madhya saptak
  [02:23.67]  s.      0.112s   Sa — mandra saptak
  [02:26.04]  r'      0.144s   Re komal — taar saptak
  [02:27.86]  P'      0.187s   Pa — taar saptak
  [02:30.85]  s.      0.139s   Sa — mandra saptak
  [02:32.13]  R'      0.144s   Re shuddh — taar saptak
  [02:32.47]  M'      0.128s   Ma shuddh — taar saptak
  [02:32.84]  M+'     0.101s   Ma tivra — taar saptak
  [02:32.97]  g'      0.112s   Ga komal — taar saptak
  [02:33.11]  D'      0.144s   Dha shuddh — taar saptak
  [02:33.29]  M+'     0.123s   Ma tivra — taar saptak
  [02:33.46]  S'      0.133s   Sa — taar saptak
  [02:33.61]  D'      0.123s   Dha shuddh — taar saptak
  [02:33.82]  S'      0.261s   Sa — taar saptak
  [02:34.70]  D'      0.107s   Dha shuddh — taar saptak
  [02:34.88]  r'      0.128s   Re komal — taar saptak
  [02:35.10]  S'      0.288s   Sa — taar saptak
  [02:35.47]  P'      0.187s   Pa — taar saptak
  [02:36.59]  N       0.123s   Ni shuddh — madhya saptak
  [02:36.77]  R'      0.208s   Re shuddh — taar saptak
  [02:36.99]  G'      0.144s   Ga shuddh — taar saptak
  [02:37.20]  P'      1.051s   Pa — taar saptak
  [02:39.99]  S       0.197s   Sa — madhya saptak
  [02:40.27]  R'      0.144s   Re shuddh — taar saptak
  [02:40.73]  M+'     0.219s   Ma tivra — taar saptak
  [02:41.02]  P'      0.277s   Pa — taar saptak
  [02:41.38]  M+      0.107s   Ma tivra — madhya saptak
  [02:43.08]  S       0.176s   Sa — madhya saptak
  [02:43.51]  S'      0.144s   Sa — taar saptak
  [02:44.35]  s.      0.192s   Sa — mandra saptak
  [02:46.26]  p.      0.171s   Pa — mandra saptak
  [02:47.99]  s.      0.181s   Sa — mandra saptak
  [02:48.21]  s.      0.432s   Sa — mandra saptak
  [02:48.88]  S       0.123s   Sa — madhya saptak
  [02:49.09]  g'      0.283s   Ga komal — taar saptak
  [02:49.53]  G'      0.299s   Ga shuddh — taar saptak
  [02:49.96]  G'      0.208s   Ga shuddh — taar saptak
  [02:50.18]  P'      0.411s   Pa — taar saptak
  [02:50.59]  G'      0.117s   Ga shuddh — taar saptak
  [02:50.81]  N'      0.384s   Ni shuddh — taar saptak
  [02:51.22]  D'      0.187s   Dha shuddh — taar saptak
  [02:52.34]  N'      0.112s   Ni shuddh — taar saptak
  [02:52.52]  R'      0.251s   Re shuddh — taar saptak
  [02:52.78]  S'      0.187s   Sa — taar saptak
  [02:54.09]  S       0.117s   Sa — madhya saptak
  [02:54.31]  N'      0.112s   Ni shuddh — taar saptak
  [02:54.47]  P'      0.416s   Pa — taar saptak
  [02:54.95]  P'      0.155s   Pa — taar saptak
  [02:55.97]  P'      0.277s   Pa — taar saptak
  [02:56.35]  G'      0.133s   Ga shuddh — taar saptak
  [02:56.49]  R'      0.363s   Re shuddh — taar saptak
  [02:57.35]  S       0.123s   Sa — madhya saptak
