SARGAM NOTATION — MELODIC-FIDELITY CANDIDATE (self_improve_melody.py)
==============================================================================
Sa = 96.9500 Hz
Confidence = 0.5917  Gap = 0.0576s  Min duration = 0.0061s
Post-process: median_window=1  min_keep=0.0096s  bridge=0.0122s/0.1140s
Melody score = 0.94166  pitch=0.8835 coverage=1.0000 swara=0.9925 rest=1.0000
Mean abs cents = 25.6  Total notes: 13103

KEY:
  S=Sa  R=Re(sh) r=Re(ko)  G=Ga(sh) g=Ga(ko)  M=Ma(sh)
  M+=Ma(tivra)  P=Pa  D=Dha(sh) d=Dha(ko)  N=Ni(sh)  n=Ni(ko)
  ' = one taar octave; '' = two taar octaves; . = one mandra octave; .. = two mandra octaves

FORMAT: [MM:SS.ss]  note  duration  full_name
==============================================================================

--- Minute 00 ---
  [00:20.73]  r'      0.020s   Re komal — taar saptak
  [00:20.75]  R'      0.030s   Re shuddh — taar saptak
  [00:20.78]  g'      0.010s   Ga komal — taar saptak
  [00:20.80]  G'      0.010s   Ga shuddh — taar saptak
  [00:20.90]  M'      0.030s   Ma shuddh — taar saptak
  [00:20.94]  G'      0.010s   Ga shuddh — taar saptak
  [00:20.95]  g'      0.020s   Ga komal — taar saptak
  [00:21.02]  P'      0.030s   Pa — taar saptak
  [00:21.07]  M'      0.090s   Ma shuddh — taar saptak
  [00:21.16]  G'      0.020s   Ga shuddh — taar saptak
  [00:21.18]  M'      0.010s   Ma shuddh — taar saptak
  [00:21.20]  M+'     0.050s   Ma tivra — taar saptak
  [00:21.25]  M'      0.010s   Ma shuddh — taar saptak
  [00:21.29]  R'      0.070s   Re shuddh — taar saptak
  [00:21.36]  r'      0.030s   Re komal — taar saptak
  [00:21.39]  S'      0.460s   Sa — taar saptak
  [00:21.91]  D       0.020s   Dha shuddh — madhya saptak
  [00:21.93]  d       0.020s   Dha komal — madhya saptak
  [00:21.95]  D       0.110s   Dha shuddh — madhya saptak
  [00:22.06]  n       0.040s   Ni komal — madhya saptak
  [00:22.10]  D       0.010s   Dha shuddh — madhya saptak
  [00:22.37]  M+      0.030s   Ma tivra — madhya saptak
  [00:22.40]  P       0.020s   Pa — madhya saptak
  [00:22.42]  d       0.020s   Dha komal — madhya saptak
  [00:22.44]  D       0.060s   Dha shuddh — madhya saptak
  [00:22.50]  n       0.040s   Ni komal — madhya saptak
  [00:22.54]  D       0.060s   Dha shuddh — madhya saptak
  [00:22.67]  D       0.080s   Dha shuddh — madhya saptak
  [00:22.75]  n       0.010s   Ni komal — madhya saptak
  [00:22.80]  S'      0.170s   Sa — taar saptak
  [00:23.01]  D       0.050s   Dha shuddh — madhya saptak
  [00:23.06]  n       0.170s   Ni komal — madhya saptak
  [00:23.23]  D       0.230s   Dha shuddh — madhya saptak
  [00:23.46]  d       0.040s   Dha komal — madhya saptak
  [00:23.50]  P       0.090s   Pa — madhya saptak
  [00:23.71]  P       0.140s   Pa — madhya saptak
  [00:23.89]  D       0.020s   Dha shuddh — madhya saptak
  [00:24.13]  D       0.060s   Dha shuddh — madhya saptak
