time,frequency,confidence
14.920,221.125,0.865894
14.930,224.402,0.853090
14.940,228.108,0.894717
14.950,230.921,0.887346
14.960,230.632,0.845719
15.010,189.391,0.817678
15.250,159.308,0.805955
15.400,158.903,0.775905
15.410,162.077,0.902788
15.420,163.714,0.931118
15.430,164.444,0.923567
15.440,164.955,0.956684
15.450,165.055,0.964912
15.460,165.411,0.968199
15.470,165.809,0.965054
15.480,166.208,0.947575
15.490,166.867,0.945671
15.500,167.324,0.937837
15.510,168.324,0.873078
15.520,169.857,0.855845
15.530,170.105,0.863293
15.540,168.927,0.895737
15.550,167.950,0.914208
15.560,167.788,0.924795
15.570,167.625,0.924867
15.580,167.853,0.875778
15.620,186.560,0.779231
15.630,188.543,0.860019
15.640,190.343,0.895721
15.650,192.039,0.920287
15.660,193.068,0.897859
15.670,192.814,0.910619
15.680,192.144,0.928352
15.690,191.165,0.902652
15.700,190.580,0.923506
15.710,190.878,0.905106
15.720,192.108,0.933034
15.730,194.346,0.931141
15.740,195.899,0.929148
15.750,195.856,0.947875
15.760,195.011,0.960274
15.770,193.918,0.944255
15.780,192.804,0.920929
15.790,192.061,0.927354
15.800,191.448,0.867052
15.810,191.668,0.757908
15.820,194.228,0.789029
15.850,215.117,0.873448
15.860,217.125,0.926569
15.870,217.842,0.958369
15.880,217.988,0.963881
15.890,217.721,0.958984
15.900,217.055,0.941449
15.910,216.544,0.931139
15.920,215.776,0.947016
15.930,214.562,0.922189
15.940,213.659,0.941597
15.950,213.479,0.949351
15.960,213.948,0.935052
15.970,214.627,0.929049
15.980,214.066,0.926735
15.990,212.660,0.942120
16.000,211.369,0.943338
16.010,211.121,0.949733
16.020,211.873,0.933320
16.030,213.216,0.948978
16.040,215.454,0.917811
16.050,219.414,0.899894
16.060,221.752,0.939077
16.070,223.936,0.927855
16.080,227.863,0.897986
16.090,234.556,0.850982
16.100,239.675,0.928784
16.110,244.243,0.953689
16.120,247.008,0.945520
16.130,248.137,0.949053
16.140,249.287,0.923411
16.150,250.300,0.962168
16.160,250.493,0.967289
16.170,250.607,0.972360
16.180,251.372,0.965751
16.190,251.941,0.954477
16.200,252.553,0.946411
16.210,253.104,0.955237
16.220,253.652,0.936579
16.230,254.278,0.960279
16.240,254.280,0.968797
16.250,255.590,0.962255
16.260,258.612,0.951666
16.270,261.136,0.933371
16.280,261.955,0.962497
16.290,261.577,0.961024
16.300,260.879,0.944152
16.310,261.076,0.948449
16.320,261.124,0.946841
16.330,260.322,0.955133
16.340,259.210,0.965990
16.350,257.689,0.960584
16.360,256.761,0.973600
16.370,256.347,0.972263
16.380,256.100,0.967440
16.390,256.318,0.968908
16.400,257.891,0.946548
16.410,260.090,0.955451
16.420,259.991,0.953875
16.430,256.722,0.955884
16.440,254.619,0.951338
16.450,254.558,0.953022
16.460,254.950,0.939606
16.470,254.939,0.951642
16.480,254.988,0.942684
16.490,256.240,0.963362
16.500,258.728,0.946847
16.510,260.315,0.950547
16.520,261.196,0.942083
16.530,260.581,0.941923
16.540,259.143,0.943367
16.550,257.248,0.922586
16.560,255.299,0.894350
16.570,254.001,0.860605
16.580,254.347,0.804680
16.590,257.140,0.906157
16.600,259.153,0.930589
16.610,260.236,0.940793
16.620,261.165,0.941917
16.630,261.672,0.963903
16.640,261.963,0.965321
16.650,262.324,0.962948
16.660,262.041,0.933195
16.670,259.731,0.855608
16.680,257.406,0.770482
16.710,259.219,0.834837
16.720,259.201,0.903392
16.730,259.354,0.915404
16.740,259.628,0.888236
16.750,260.565,0.813844
16.800,252.155,0.769448
16.850,250.465,0.775330
16.860,256.899,0.781940
17.330,212.442,0.850198
17.340,212.760,0.910740
17.350,214.799,0.881607
17.360,218.190,0.902510
17.370,222.533,0.848504
17.380,227.792,0.813846
17.390,234.513,0.791768
17.400,240.848,0.883217
17.410,245.688,0.936072
17.420,248.473,0.911972
17.430,249.710,0.889816
17.440,249.275,0.814561
17.450,244.244,0.809918
17.470,229.846,0.760157
17.480,228.354,0.821692
17.540,304.119,0.883776
17.550,307.199,0.946833
17.560,306.985,0.904948
17.610,251.221,0.913448
17.620,251.369,0.929361
17.630,254.382,0.943921
17.640,257.843,0.932592
17.650,262.045,0.939748
17.660,263.793,0.940374
17.670,261.965,0.925978
17.680,256.607,0.917143
17.690,249.886,0.836135
17.700,245.851,0.914680
17.710,249.363,0.822774
17.720,256.328,0.876866
17.730,263.565,0.881258
17.740,268.534,0.951646
17.750,269.449,0.955936
17.760,266.449,0.865725
17.770,261.953,0.832787
17.840,220.827,0.813826
17.850,220.236,0.795828
17.860,218.508,0.803112
17.870,215.161,0.809686
17.880,207.813,0.773346
17.890,204.227,0.886288
17.900,199.985,0.823166
17.910,196.079,0.877161
17.920,194.658,0.930680
17.930,194.409,0.925951
17.940,194.965,0.918924
17.950,195.705,0.880158
17.960,195.339,0.892871
17.970,194.405,0.838063
17.980,194.273,0.769882
17.990,195.206,0.814156
18.000,195.665,0.856390
18.020,195.650,0.916522
18.030,195.818,0.913971
18.050,196.003,0.925243
18.060,195.870,0.945728
18.070,195.611,0.941109
18.080,195.587,0.940133
18.090,195.820,0.942762
18.100,195.951,0.950502
18.110,195.599,0.950201
18.120,195.422,0.955918
18.130,195.837,0.938758
18.140,196.820,0.954091
18.150,197.860,0.917108
18.160,198.059,0.926434
18.170,197.460,0.920318
18.180,196.459,0.929336
18.190,195.769,0.897332
18.200,195.844,0.886429
18.210,196.048,0.809807
18.280,196.310,0.796035
18.290,195.937,0.878203
18.300,195.419,0.902722
18.310,195.251,0.922922
18.320,194.823,0.933115
18.330,194.458,0.932158
18.340,194.860,0.945957
18.350,195.319,0.938154
18.360,194.869,0.942137
18.370,193.843,0.917225
18.380,193.885,0.909445
