time,frequency,confidence
3.290,363.309,0.610775
3.300,363.631,0.667182
3.310,354.459,0.472351
3.320,349.945,0.624370
3.330,348.205,0.772809
3.340,349.553,0.739300
3.350,352.380,0.786125
3.360,354.211,0.799709
3.370,355.686,0.738569
3.380,355.050,0.703580
3.390,353.218,0.507792
3.400,316.747,0.839504
3.410,278.196,0.901503
3.420,246.361,0.907030
3.430,246.460,0.918825
3.440,246.436,0.914275
3.450,245.959,0.916901
3.460,245.182,0.925830
3.470,244.684,0.922555
3.480,244.326,0.928866
3.490,244.971,0.944525
3.500,245.984,0.930428
3.510,246.602,0.901577
3.520,246.017,0.885954
3.530,244.756,0.737333
3.540,273.177,0.438525
3.550,322.637,0.400054
3.560,350.728,0.449923
3.570,344.796,0.667037
3.580,344.851,0.793091
3.590,345.378,0.781397
3.600,338.964,0.445920
3.610,320.610,0.687814
3.620,323.608,0.414612
3.630,335.694,0.532985
3.640,337.950,0.402911
3.650,339.039,0.518255
3.660,345.490,0.475645
3.670,306.499,0.380827
3.680,305.149,0.462845
3.690,310.502,0.333166
3.700,347.294,0.270324
3.710,378.473,0.124146
3.720,377.726,0.147126
3.730,367.503,0.098692
3.740,357.554,0.295917
3.750,360.717,0.757646
3.760,359.759,0.883083
3.770,358.411,0.844427
3.780,356.554,0.582390
3.790,346.810,0.478974
3.800,343.163,0.263020
3.810,339.887,0.324598
3.820,336.227,0.351112
3.830,340.038,0.469925
3.840,344.828,0.731337
3.850,349.510,0.813637
3.860,353.039,0.869024
3.870,351.797,0.845779
3.880,351.162,0.748930
3.890,348.103,0.744738
3.900,344.769,0.576074
3.910,342.052,0.607019
3.920,341.532,0.567428
3.930,343.155,0.224909
3.940,344.986,0.107786
3.950,349.208,0.084159
3.960,349.312,0.209067
3.970,349.313,0.300019
3.980,349.056,0.241586
3.990,349.332,0.164068
4.000,347.099,0.076875
4.010,345.354,0.138310
4.020,346.152,0.181537
4.030,347.082,0.105957
4.040,347.455,0.208712
4.050,347.047,0.215035
4.060,345.845,0.151797
4.070,344.803,0.380887
4.080,345.190,0.201187
4.090,346.584,0.164678
4.100,344.643,0.099268
4.110,342.282,0.169124
4.120,342.865,0.369643
4.130,347.166,0.011725
4.140,348.144,0.017535
4.150,349.936,0.027109
4.160,350.795,0.558080
4.170,351.334,0.748284
4.180,352.622,0.705603
4.190,351.426,0.557179
4.200,351.963,0.408676
4.210,351.005,0.416301
4.220,349.184,0.267236
4.230,345.290,0.219467
4.240,341.700,0.087786
4.250,340.788,0.012857
4.260,345.351,0.040715
4.270,347.962,0.293447
4.280,354.337,0.789045
4.290,354.700,0.899904
4.300,353.434,0.839950
4.310,349.321,0.468152
4.320,348.003,0.167700
4.330,342.474,0.206958
4.340,333.131,0.178934
4.350,320.954,0.234901
4.360,310.930,0.332768
4.370,306.360,0.078149
4.380,299.289,0.295773
4.390,286.725,0.516583
4.400,275.196,0.282029
4.410,272.656,0.231878
4.420,275.747,0.127061
4.430,269.955,0.342188
4.440,259.842,0.360254
4.450,258.135,0.187116
4.460,249.202,0.152011
4.470,242.701,0.143144
4.480,237.221,0.093071
4.490,232.970,0.074914
4.500,229.180,0.036115
4.510,216.318,0.054131
4.520,207.398,0.326377
4.530,205.301,0.490328
4.540,202.855,0.604241
4.550,202.656,0.391025
4.560,194.216,0.348925
4.570,194.731,0.340266
4.580,196.099,0.127628
4.590,218.232,0.049878
4.600,216.428,0.065561
4.610,215.660,0.100862
4.620,215.109,0.034711
4.630,212.609,0.028664
4.640,209.483,0.027328
4.650,203.740,0.084069
4.660,201.771,0.106523
4.670,197.480,0.221180
4.680,195.073,0.114715
4.690,191.959,0.046751
4.700,188.841,0.144540
4.710,185.670,0.181116
4.720,182.681,0.059077
4.730,177.690,0.104127
4.740,173.859,0.058037
4.750,174.468,0.427390
4.760,173.352,0.282278
4.770,172.637,0.305814
4.780,172.882,0.130908
4.790,172.957,0.042694
4.800,172.075,0.128267
4.810,174.932,0.389838
4.820,176.954,0.183227
4.830,176.366,0.195887
4.840,177.278,0.506298
4.850,177.022,0.643862
4.860,175.784,0.657498
4.870,174.978,0.678077
4.880,175.048,0.512147
4.890,174.476,0.323202
4.900,174.583,0.248833
4.910,175.451,0.301592
4.920,177.925,0.333833
4.930,181.836,0.437533
4.940,181.895,0.441874
4.950,182.713,0.477289
4.960,182.601,0.627841
4.970,172.835,0.371157
4.980,173.366,0.581185
4.990,173.213,0.576247
5.000,173.909,0.258071
5.010,175.430,0.108096
5.020,174.184,0.126092
5.030,173.325,0.236945
5.040,172.504,0.225958
5.050,172.518,0.152091
5.060,174.781,0.238726
5.070,176.522,0.553320
5.080,176.143,0.339943
5.090,177.013,0.508744
5.100,178.001,0.789126
5.110,177.998,0.837018
5.120,177.310,0.771680
5.130,176.911,0.693892
5.140,175.944,0.558970
5.150,176.936,0.412346
5.160,179.805,0.483795
5.170,177.327,0.658469
5.180,172.365,0.525090
5.190,169.250,0.657987
5.200,172.710,0.743245
5.210,174.223,0.818267
5.220,174.556,0.843741
5.230,173.080,0.770874
5.240,169.872,0.696344
5.250,167.834,0.651007
5.260,169.087,0.487575
5.270,174.609,0.244096
5.280,176.986,0.204011
5.290,175.068,0.504503
5.300,174.472,0.253879
5.310,175.078,0.134915
5.320,175.179,0.121067
5.330,179.573,0.095379
5.340,182.310,0.043596
5.350,187.033,0.018755
5.360,188.315,0.106519
5.370,185.563,0.313878
5.380,181.050,0.511113
5.390,182.217,0.368456
5.400,185.178,0.475837
5.410,185.520,0.231348
5.420,189.707,0.310271
5.430,189.469,0.250006
5.440,187.852,0.481374
5.450,185.603,0.402333
5.460,182.861,0.542984
5.470,184.467,0.766079
5.480,185.088,0.835976
5.490,185.543,0.840762
5.500,185.408,0.827784
5.510,185.501,0.722003
5.520,184.459,0.383446
5.530,184.845,0.151618
5.540,188.485,0.365320
5.550,197.911,0.335898
5.560,210.443,0.588272
5.570,211.655,0.817740
5.580,212.888,0.901255
5.590,213.054,0.926267
5.600,213.249,0.938055
5.610,214.209,0.916872
5.620,215.870,0.936513
5.630,217.232,0.914446
5.640,219.054,0.876994
