sa_hz,conf,gap,min_dur,notes,score
102.09,0.566,0.024,0.012,11531,0.875229
102.09,0.546,0.026,0.018,11529,0.875137
91.38,0.755,0.051,0.026,8361,0.874059
90.86,0.7,0.081,0.01,11003,0.873402
102.58,0.742,0.089,0.03,8240,0.873263
101.99,0.656,0.061,0.017,11191,0.872976
101.92,0.549,0.031,0.011,11468,0.869633
92.6,0.562,0.063,0.03,6366,0.869278
92.45,0.589,0.056,0.03,6324,0.869005
92.35,0.642,0.066,0.036,6265,0.868971
102.45,0.753,0.054,0.029,8284,0.868514
92.37,0.695,0.047,0.03,6292,0.868024
96.14,0.729,0.078,0.012,11621,0.867739
90.73,0.635,0.087,0.015,11077,0.867647
92.14,0.645,0.071,0.037,6202,0.865715
91.09,0.737,0.085,0.028,8358,0.865633
96.64,0.742,0.039,0.03,8922,0.864838
92.04,0.611,0.083,0.034,6193,0.864284
92.11,0.701,0.046,0.03,6243,0.863375
92.07,0.535,0.038,0.035,6278,0.862175
93.75,0.705,0.045,0.016,12892,0.861581
93.76,0.654,0.077,0.02,12762,0.86023
90.93,0.639,0.099,0.023,8386,0.860136
98.57,0.695,0.075,0.038,6823,0.85849
101.64,0.723,0.038,0.015,11698,0.85825
97.61,0.513,0.031,0.033,6633,0.857365
96.38,0.509,0.032,0.027,8897,0.857209
90.86,0.7,0.064,0.021,8458,0.857133
97.35,0.694,0.073,0.031,6567,0.856649
99.18,0.655,0.043,0.026,9897,0.854339
96.24,0.603,0.09,0.022,8733,0.854337
93.22,0.669,0.034,0.035,6808,0.852607
93.17,0.51,0.013,0.032,6779,0.851334
99.42,0.538,0.017,0.013,13679,0.850601
97.35,0.771,0.025,0.037,6489,0.849789
92.47,0.698,0.06,0.045,4779,0.849589
101.72,0.511,0.072,0.027,8452,0.845095
96.88,0.69,0.063,0.033,6447,0.844159
93.32,0.644,0.018,0.03,6837,0.844158
92.8,0.546,0.046,0.041,4889,0.844034
102.55,0.653,0.063,0.033,6043,0.844011
93.76,0.565,0.05,0.024,9773,0.843619
92.04,0.644,0.083,0.047,4666,0.842585
93.95,0.759,0.045,0.018,12945,0.84145
92.4,0.641,0.013,0.046,4715,0.841128
103.42,0.569,0.045,0.048,4571,0.840623
97.82,0.55,0.064,0.045,4941,0.840597
92.07,0.77,0.078,0.046,4526,0.840442
99.54,0.521,0.041,0.019,13431,0.840269
91.15,0.765,0.092,0.03,6012,0.83992
92.52,0.795,0.049,0.045,4523,0.839844
93.8,0.751,0.067,0.027,9781,0.839813
98.43,0.722,0.079,0.043,4997,0.838088
92.84,0.654,0.016,0.048,4843,0.835852
98.52,0.569,0.066,0.044,5024,0.834545
97.59,0.743,0.081,0.042,4925,0.834413
93.87,0.652,0.074,0.022,9805,0.833644
95.76,0.723,0.067,0.028,8867,0.831463
96.38,0.694,0.073,0.031,6320,0.830489
95.76,0.544,0.032,0.028,8993,0.83043
97.6,0.65,0.016,0.048,4838,0.829406
101.99,0.61,0.067,0.036,6086,0.829049
97.19,0.6,0.07,0.041,4815,0.828904
97.19,0.712,0.073,0.041,4815,0.828904
103.54,0.728,0.065,0.051,3650,0.828039
101.39,0.694,0.029,0.028,8921,0.827296
103.97,0.528,0.09,0.058,3737,0.827117
93.32,0.702,0.064,0.04,5101,0.825181
92.52,0.583,0.012,0.054,3684,0.824165
93.95,0.691,0.01,0.029,10068,0.822191
101.28,0.583,0.04,0.024,8899,0.821206
92.8,0.633,0.019,0.057,3716,0.819407
96.92,0.746,0.046,0.048,4733,0.819093
95.31,0.678,0.043,0.014,12365,0.817875
